Date,Global_active_power,Global_reactive_power,Sub_metering_1,Sub_metering_2,Voltage,Global_intensity,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
2006-12-16,1209.176,34.922,0.0,546.0,236.24376262626262,13.082828282828283,63.75,9.333,5.667,2.167,0.167
2006-12-17,3390.46,226.006,2033.0,4187.0,240.0870277777778,9.999027777777778,63.75,9.333,5.667,2.167,0.167
2006-12-18,2203.826,161.792,1063.0,2621.0,241.23169444444446,6.421666666666667,63.75,9.333,5.667,2.167,0.167
2006-12-19,1666.194,150.942,839.0,7602.0,241.9993125,4.926388888888889,63.75,9.333,5.667,2.167,0.167
2006-12-20,2225.748,160.998,0.0,2648.0,242.30806249999998,6.467361111111111,63.75,9.333,5.667,2.167,0.167
2006-12-21,1716.624,144.166,1765.0,2623.0,241.04054937413073,5.033796940194716,63.75,9.333,5.667,2.167,0.167
2006-12-22,2341.338,186.906,3151.0,350.0,241.1845486111111,6.872916666666667,63.75,9.333,5.667,2.167,0.167
2006-12-23,4773.386,221.47,2669.0,425.0,240.1360763888889,14.028055555555557,63.75,9.333,5.667,2.167,0.167
2006-12-24,2550.012,149.9,1703.0,5082.0,241.6874375,7.640416666666667,63.75,9.333,5.667,2.167,0.167
2006-12-25,2743.12,240.28,6620.0,1962.0,243.39993055555558,7.951527777777779,63.75,9.333,5.667,2.167,0.167
2006-12-26,3934.11,165.102,1086.0,2533.0,241.6254375,11.347916666666666,63.75,9.333,5.667,2.167,0.167
2006-12-27,1528.76,178.902,0.0,314.0,243.76736111111111,4.5175,63.75,9.333,5.667,2.167,0.167
2006-12-28,2072.638,208.876,2207.0,4419.0,243.26833333333335,6.086250000000001,63.75,9.333,5.667,2.167,0.167
2006-12-29,3174.392,196.394,1252.0,5162.0,240.87130555555555,9.271388888888888,63.75,9.333,5.667,2.167,0.167
2006-12-30,2789.302,311.928,3072.0,7891.0,240.54068845618914,8.292211404728791,63.75,9.333,5.667,2.167,0.167
2006-12-31,3494.196,150.852,0.0,347.0,239.8965763888889,10.199583333333333,63.75,9.333,5.667,2.167,0.167
2007-01-01,2749.004,148.166,0.0,352.0,240.12897916666665,7.916944444444444,28.36,10.2,0.6,0.0,0.0
2007-01-02,1269.236,190.342,0.0,348.0,241.94377777777777,3.7140277777777775,28.36,10.2,0.6,0.0,0.0
2007-01-03,1014.054,196.728,0.0,344.0,243.5570902777778,3.0140277777777778,28.36,10.2,0.6,0.0,0.0
2007-01-04,3259.412,202.302,1051.0,7597.0,239.7502986111111,9.478194444444444,28.36,10.2,0.6,0.0,0.0
2007-01-05,2713.364,173.154,1483.0,379.0,240.49576388888892,7.885138888888889,28.36,10.2,0.6,0.0,0.0
2007-01-06,1508.378,192.188,1336.0,402.0,239.67305555555555,4.543888888888889,28.36,10.2,0.6,0.0,0.0
2007-01-07,2447.62,246.074,1987.0,8177.0,240.90248611111113,7.282638888888889,28.36,10.2,0.6,0.0,0.0
2007-01-08,2241.36,207.568,0.0,467.0,239.5769513888889,6.551666666666667,28.36,10.2,0.6,0.0,0.0
2007-01-09,1869.054,207.248,1688.0,4267.0,240.48752083333335,5.521111111111111,28.36,10.2,0.6,0.0,0.0
2007-01-10,2154.8,228.452,771.0,4456.0,241.02745138888892,6.357777777777779,28.36,10.2,0.6,0.0,0.0
2007-01-11,2255.194,230.02,1378.0,2170.0,241.1556875,6.658333333333333,28.36,10.2,0.6,0.0,0.0
2007-01-12,1461.296,199.14,0.0,439.0,241.53820833333336,4.309166666666666,28.36,10.2,0.6,0.0,0.0
